country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,2020-02-15,3.0,2.0,29.0,9.0,1.0,-1.0
BE,Belgium,,,2020-02-16,-7.0,-3.0,-30.0,-3.0,-3.0,1.0
BE,Belgium,,,2020-02-17,1.0,2.0,8.0,4.0,4.0,0.0
BE,Belgium,,,2020-02-18,3.0,3.0,18.0,6.0,4.0,0.0
BE,Belgium,,,2020-02-19,3.0,1.0,13.0,5.0,4.0,0.0
BE,Belgium,,,2020-02-20,-2.0,-1.0,4.0,3.0,3.0,0.0
BE,Belgium,,,2020-02-21,0.0,3.0,15.0,7.0,2.0,0.0
BE,Belgium,,,2020-02-22,-4.0,0.0,0.0,2.0,-2.0,0.0
BE,Belgium,,,2020-02-23,-7.0,-7.0,-27.0,-2.0,-4.0,0.0
BE,Belgium,,,2020-02-24,7.0,0.0,7.0,-11.0,-24.0,4.0
BE,Belgium,,,2020-02-25,10.0,2.0,29.0,-8.0,-23.0,4.0
BE,Belgium,,,2020-02-26,-1.0,-5.0,-4.0,-11.0,-21.0,3.0
BE,Belgium,,,2020-02-27,-2.0,-2.0,-15.0,-15.0,-23.0,6.0
BE,Belgium,,,2020-02-28,-1.0,3.0,3.0,-10.0,-23.0,5.0
BE,Belgium,,,2020-02-29,-4.0,2.0,-7.0,-2.0,-5.0,1.0
BE,Belgium,,,2020-03-01,0.0,6.0,-2.0,5.0,-1.0,0.0
BE,Belgium,,,2020-03-02,-4.0,7.0,-12.0,0.0,3.0,0.0
BE,Belgium,,,2020-03-03,2.0,6.0,11.0,1.0,4.0,0.0
BE,Belgium,,,2020-03-04,1.0,4.0,7.0,1.0,4.0,0.0
BE,Belgium,,,2020-03-05,-4.0,1.0,-16.0,-2.0,2.0,2.0
BE,Belgium,,,2020-03-06,-1.0,5.0,2.0,3.0,2.0,1.0
BE,Belgium,,,2020-03-07,5.0,3.0,33.0,8.0,2.0,0.0
BE,Belgium,,,2020-03-08,-1.0,1.0,-21.0,-2.0,-1.0,0.0
BE,Belgium,,,2020-03-09,-1.0,4.0,6.0,-1.0,2.0,0.0
BE,Belgium,,,2020-03-10,-4.0,4.0,-5.0,-4.0,1.0,2.0
BE,Belgium,,,2020-03-11,-4.0,4.0,-3.0,-4.0,1.0,2.0
BE,Belgium,,,2020-03-12,-7.0,23.0,4.0,-7.0,-1.0,3.0
BE,Belgium,,,2020-03-13,-8.0,40.0,-5.0,-16.0,-7.0,5.0
BE,Belgium,,,2020-03-14,-70.0,-8.0,0.0,-34.0,-27.0,12.0
BE,Belgium,,,2020-03-15,-66.0,-18.0,20.0,-34.0,-29.0,8.0
BE,Belgium,,,2020-03-16,-32.0,16.0,7.0,-43.0,-36.0,14.0
BE,Belgium,,,2020-03-17,-36.0,30.0,31.0,-46.0,-45.0,16.0
BE,Belgium,,,2020-03-18,-61.0,-12.0,7.0,-56.0,-52.0,20.0
BE,Belgium,,,2020-03-19,-75.0,-23.0,-19.0,-67.0,-61.0,27.0
BE,Belgium,,,2020-03-20,-79.0,-22.0,-50.0,-71.0,-62.0,31.0
BE,Belgium,,,2020-03-21,-84.0,-39.0,-34.0,-67.0,-51.0,22.0
BE,Belgium,,,2020-03-22,-79.0,-45.0,-20.0,-63.0,-48.0,15.0
BE,Belgium,,,2020-03-23,-74.0,-25.0,-20.0,-70.0,-65.0,26.0
BE,Belgium,,,2020-03-24,-74.0,-21.0,-8.0,-69.0,-66.0,27.0
BE,Belgium,,,2020-03-25,-76.0,-29.0,-19.0,-69.0,-65.0,26.0
BE,Belgium,,,2020-03-26,-77.0,-25.0,-25.0,-72.0,-66.0,29.0
BE,Belgium,,,2020-03-27,-78.0,-21.0,-27.0,-70.0,-65.0,31.0
BE,Belgium,,,2020-03-28,-83.0,-36.0,-38.0,-67.0,-51.0,22.0
BE,Belgium,,,2020-03-29,-84.0,-53.0,-66.0,-76.0,-52.0,17.0
BE,Belgium,,,2020-03-30,-76.0,-30.0,-35.0,-72.0,-66.0,27.0
BE,Belgium,,,2020-03-31,-75.0,-25.0,-18.0,-71.0,-66.0,28.0
BE,Belgium,,,2020-04-01,-76.0,-31.0,-18.0,-69.0,-64.0,26.0
BE,Belgium,,,2020-04-02,-77.0,-27.0,-38.0,-73.0,-66.0,30.0
BE,Belgium,,,2020-04-03,-79.0,-21.0,-38.0,-72.0,-65.0,32.0
BE,Belgium,,,2020-04-04,-82.0,-32.0,-30.0,-64.0,-50.0,22.0
BE,Belgium,,,2020-04-05,-76.0,-36.0,-13.0,-60.0,-46.0,15.0
BE,Belgium,,,2020-04-06,-74.0,-27.0,-19.0,-69.0,-66.0,26.0
BE,Belgium,,,2020-04-07,-72.0,-19.0,4.0,-67.0,-66.0,26.0
BE,Belgium,,,2020-04-08,-73.0,-25.0,-3.0,-66.0,-64.0,24.0
BE,Belgium,,,2020-04-09,-73.0,-18.0,-7.0,-67.0,-66.0,27.0
BE,Belgium,,,2020-04-10,-75.0,-14.0,-12.0,-67.0,-66.0,30.0
BE,Belgium,,,2020-04-11,-79.0,-25.0,-20.0,-60.0,-47.0,20.0
BE,Belgium,,,2020-04-12,-75.0,-40.0,-24.0,-61.0,-45.0,15.0
BE,Belgium,,,2020-04-13,-86.0,-76.0,-31.0,-80.0,-88.0,35.0
BE,Belgium,,,2020-04-14,-73.0,-11.0,-26.0,-70.0,-66.0,27.0
BE,Belgium,,,2020-04-15,-74.0,-24.0,-12.0,-66.0,-64.0,25.0
BE,Belgium,,,2020-04-16,-73.0,-20.0,-4.0,-67.0,-65.0,27.0
BE,Belgium,,,2020-04-17,-75.0,-19.0,-14.0,-66.0,-63.0,30.0
BE,Belgium,,,2020-04-18,-80.0,-35.0,-54.0,-67.0,-45.0,22.0
BE,Belgium,,,2020-04-19,-76.0,-43.0,-29.0,-63.0,-41.0,15.0
BE,Belgium,,,2020-04-20,-66.0,-28.0,-9.0,-65.0,-60.0,24.0
BE,Belgium,,,2020-04-21,-66.0,-22.0,0.0,-64.0,-60.0,25.0
BE,Belgium,,,2020-04-22,-68.0,-25.0,-1.0,-63.0,-58.0,23.0
BE,Belgium,,,2020-04-23,-67.0,-19.0,2.0,-63.0,-60.0,25.0
BE,Belgium,,,2020-04-24,-71.0,-19.0,-17.0,-64.0,-59.0,28.0
BE,Belgium,,,2020-04-25,-75.0,-28.0,-25.0,-58.0,-39.0,19.0
BE,Belgium,,,2020-04-26,-70.0,-33.0,-3.0,-54.0,-36.0,13.0
BE,Belgium,,,2020-04-27,-63.0,-26.0,4.0,-62.0,-58.0,23.0
BE,Belgium,,,2020-04-28,-68.0,-23.0,-38.0,-68.0,-58.0,24.0
BE,Belgium,,,2020-04-29,-68.0,-21.0,-31.0,-64.0,-56.0,23.0
BE,Belgium,,,2020-04-30,-60.0,-1.0,-28.0,-64.0,-57.0,25.0
BE,Belgium,,,2020-05-01,-83.0,-69.0,-37.0,-76.0,-83.0,37.0
BE,Belgium,,,2020-05-02,-71.0,-19.0,-36.0,-60.0,-37.0,19.0
BE,Belgium,Brussels,,2020-02-15,11.0,8.0,89.0,18.0,1.0,-1.0
BE,Belgium,Brussels,,2020-02-16,-1.0,-2.0,-1.0,8.0,-5.0,1.0
BE,Belgium,Brussels,,2020-02-17,2.0,1.0,15.0,4.0,4.0,0.0
BE,Belgium,Brussels,,2020-02-18,6.0,3.0,20.0,7.0,5.0,-1.0
BE,Belgium,Brussels,,2020-02-19,0.0,1.0,10.0,3.0,5.0,-1.0
BE,Belgium,Brussels,,2020-02-20,-4.0,-3.0,6.0,3.0,3.0,0.0
BE,Belgium,Brussels,,2020-02-21,1.0,1.0,3.0,7.0,2.0,0.0
BE,Belgium,Brussels,,2020-02-22,-6.0,-4.0,-12.0,4.0,-1.0,0.0
BE,Belgium,Brussels,,2020-02-23,-9.0,-13.0,-34.0,0.0,-5.0,0.0
BE,Belgium,Brussels,,2020-02-24,3.0,-5.0,-21.0,-9.0,-18.0,3.0
BE,Belgium,Brussels,,2020-02-25,3.0,-1.0,-3.0,-7.0,-17.0,3.0
BE,Belgium,Brussels,,2020-02-26,-4.0,-5.0,-22.0,-9.0,-16.0,2.0
BE,Belgium,Brussels,,2020-02-27,-8.0,-7.0,-35.0,-13.0,-18.0,4.0
BE,Belgium,Brussels,,2020-02-28,-3.0,-3.0,-16.0,-7.0,-18.0,4.0
BE,Belgium,Brussels,,2020-02-29,-7.0,-1.0,-24.0,-2.0,-2.0,0.0
BE,Belgium,Brussels,,2020-03-01,-5.0,1.0,10.0,7.0,-4.0,-1.0
BE,Belgium,Brussels,,2020-03-02,-8.0,1.0,-21.0,-1.0,2.0,1.0
BE,Belgium,Brussels,,2020-03-03,2.0,7.0,6.0,-2.0,3.0,0.0
BE,Belgium,Brussels,,2020-03-04,-3.0,4.0,-10.0,-1.0,3.0,0.0
BE,Belgium,Brussels,,2020-03-05,-6.0,-2.0,-20.0,0.0,2.0,1.0
BE,Belgium,Brussels,,2020-03-06,-2.0,3.0,-8.0,6.0,0.0,1.0
BE,Belgium,Brussels,,2020-03-07,2.0,1.0,29.0,6.0,1.0,0.0
BE,Belgium,Brussels,,2020-03-08,-5.0,-9.0,-16.0,3.0,-5.0,1.0
BE,Belgium,Brussels,,2020-03-09,-5.0,2.0,2.0,-4.0,0.0,1.0
BE,Belgium,Brussels,,2020-03-10,-10.0,2.0,-14.0,-8.0,0.0,2.0
BE,Belgium,Brussels,,2020-03-11,-12.0,3.0,-15.0,-7.0,-1.0,2.0
BE,Belgium,Brussels,,2020-03-12,-13.0,16.0,-7.0,-10.0,-4.0,3.0
BE,Belgium,Brussels,,2020-03-13,-19.0,32.0,-23.0,-19.0,-14.0,7.0
BE,Belgium,Brussels,,2020-03-14,-73.0,-13.0,1.0,-41.0,-33.0,12.0
BE,Belgium,Brussels,,2020-03-15,-70.0,-27.0,13.0,-44.0,-37.0,9.0
BE,Belgium,Brussels,,2020-03-16,-50.0,2.0,-13.0,-51.0,-47.0,18.0
BE,Belgium,Brussels,,2020-03-17,-55.0,13.0,28.0,-57.0,-55.0,19.0
BE,Belgium,Brussels,,2020-03-18,-73.0,-16.0,11.0,-66.0,-64.0,24.0
BE,Belgium,Brussels,,2020-03-19,-83.0,-35.0,-34.0,-77.0,-72.0,31.0
BE,Belgium,Brussels,,2020-03-20,-85.0,-37.0,-57.0,-78.0,-72.0,35.0
BE,Belgium,Brussels,,2020-03-21,-88.0,-48.0,-35.0,-76.0,-60.0,24.0
BE,Belgium,Brussels,,2020-03-22,-86.0,-56.0,-23.0,-76.0,-58.0,17.0
BE,Belgium,Brussels,,2020-03-23,-83.0,-38.0,-35.0,-79.0,-75.0,31.0
BE,Belgium,Brussels,,2020-03-24,-84.0,-35.0,-29.0,-80.0,-76.0,32.0
BE,Belgium,Brussels,,2020-03-25,-85.0,-38.0,-35.0,-79.0,-75.0,31.0
BE,Belgium,Brussels,,2020-03-26,-85.0,-38.0,-43.0,-81.0,-76.0,34.0
BE,Belgium,Brussels,,2020-03-27,-85.0,-36.0,-40.0,-79.0,-75.0,36.0
BE,Belgium,Brussels,,2020-03-28,-88.0,-47.0,-36.0,-77.0,-62.0,24.0
BE,Belgium,Brussels,,2020-03-29,-89.0,-65.0,-64.0,-82.0,-62.0,19.0
BE,Belgium,Brussels,,2020-03-30,-85.0,-42.0,-47.0,-81.0,-76.0,32.0
BE,Belgium,Brussels,,2020-03-31,-84.0,-37.0,-35.0,-81.0,-76.0,32.0
BE,Belgium,Brussels,,2020-04-01,-85.0,-39.0,-28.0,-80.0,-75.0,31.0
BE,Belgium,Brussels,,2020-04-02,-86.0,-41.0,-55.0,-82.0,-77.0,34.0
BE,Belgium,Brussels,,2020-04-03,-85.0,-37.0,-42.0,-80.0,-75.0,36.0
BE,Belgium,Brussels,,2020-04-04,-87.0,-44.0,-20.0,-74.0,-61.0,24.0
BE,Belgium,Brussels,,2020-04-05,-84.0,-49.0,9.0,-72.0,-57.0,17.0
BE,Belgium,Brussels,,2020-04-06,-83.0,-39.0,-22.0,-79.0,-75.0,31.0
BE,Belgium,Brussels,,2020-04-07,-82.0,-32.0,-4.0,-79.0,-75.0,31.0
BE,Belgium,Brussels,,2020-04-08,-83.0,-35.0,-11.0,-78.0,-74.0,29.0
BE,Belgium,Brussels,,2020-04-09,-83.0,-32.0,-14.0,-79.0,-75.0,32.0
BE,Belgium,Brussels,,2020-04-10,-83.0,-30.0,-14.0,-77.0,-75.0,34.0
BE,Belgium,Brussels,,2020-04-11,-86.0,-39.0,-6.0,-71.0,-57.0,22.0
BE,Belgium,Brussels,,2020-04-12,-84.0,-53.0,-8.0,-74.0,-56.0,17.0
BE,Belgium,Brussels,,2020-04-13,-89.0,-73.0,-26.0,-86.0,-90.0,37.0
BE,Belgium,Brussels,,2020-04-14,-82.0,-28.0,-32.0,-79.0,-75.0,31.0
BE,Belgium,Brussels,,2020-04-15,-82.0,-32.0,-18.0,-77.0,-73.0,29.0
BE,Belgium,Brussels,,2020-04-16,-83.0,-32.0,-14.0,-78.0,-74.0,31.0
BE,Belgium,Brussels,,2020-04-17,-82.0,-32.0,-17.0,-76.0,-73.0,34.0
BE,Belgium,Brussels,,2020-04-18,-86.0,-45.0,-48.0,-75.0,-56.0,24.0
BE,Belgium,Brussels,,2020-04-19,-85.0,-57.0,-26.0,-74.0,-54.0,17.0
BE,Belgium,Brussels,,2020-04-20,-78.0,-39.0,0.0,-76.0,-73.0,30.0
BE,Belgium,Brussels,,2020-04-21,-78.0,-33.0,-1.0,-77.0,-72.0,29.0
BE,Belgium,Brussels,,2020-04-22,-79.0,-33.0,2.0,-75.0,-70.0,28.0
BE,Belgium,Brussels,,2020-04-23,-79.0,-31.0,-2.0,-75.0,-71.0,29.0
BE,Belgium,Brussels,,2020-04-24,-80.0,-32.0,-19.0,-75.0,-70.0,32.0
BE,Belgium,Brussels,,2020-04-25,-83.0,-39.0,-8.0,-69.0,-51.0,21.0
BE,Belgium,Brussels,,2020-04-26,-80.0,-45.0,23.0,-67.0,-50.0,15.0
BE,Belgium,Brussels,,2020-04-27,-77.0,-38.0,5.0,-74.0,-70.0,28.0
BE,Belgium,Brussels,,2020-04-28,-81.0,-37.0,-48.0,-78.0,-71.0,28.0
BE,Belgium,Brussels,,2020-04-29,-79.0,-31.0,-36.0,-75.0,-69.0,28.0
BE,Belgium,Brussels,,2020-04-30,-76.0,-20.0,-35.0,-74.0,-69.0,29.0
BE,Belgium,Brussels,,2020-05-01,-86.0,-63.0,-29.0,-81.0,-86.0,39.0
BE,Belgium,Brussels,,2020-05-02,-81.0,-33.0,-28.0,-69.0,-50.0,21.0
BE,Belgium,Flanders,,2020-02-15,2.0,1.0,15.0,6.0,1.0,-1.0
BE,Belgium,Flanders,,2020-02-16,-11.0,-3.0,-42.0,-5.0,-3.0,1.0
