NIS5,AgeGroup,COUNT
11001,0-17,2557
11001,18-34,2498
11001,35-44,1601
11001,45-54,2041
11001,55-64,2090
11001,65-74,1897
11001,75-84,1261
11001,85+,482
11002,0-17,119897
11002,18-34,127864
11002,35-44,73771
11002,45-54,64091
11002,55-64,56810
11002,65-74,42833
11002,75-84,29118
11002,85+,14863
11004,0-17,2494
11004,18-34,2543
11004,35-44,1520
11004,45-54,1851
11004,55-64,2081
11004,65-74,1496
11004,75-84,888
11004,85+,499
11005,0-17,4323
11005,18-34,3872
11005,35-44,2368
11005,45-54,2563
11005,55-64,2223
11005,65-74,1532
11005,75-84,1150
11005,85+,524
11007,0-17,2293
11007,18-34,2242
11007,35-44,1421
11007,45-54,1340
11007,55-64,1468
11007,65-74,1170
11007,75-84,735
11007,85+,280
11008,0-17,6875
11008,18-34,6737
11008,35-44,4347
11008,45-54,5121
11008,55-64,5753
11008,65-74,4806
11008,75-84,3183
11008,85+,1401
11009,0-17,5364
11009,18-34,5747
11009,35-44,3405
11009,45-54,4340
11009,55-64,4834
11009,65-74,3201
11009,75-84,1853
11009,85+,710
11013,0-17,4307
11013,18-34,4168
11013,35-44,2736
11013,45-54,2564
11013,55-64,3163
11013,65-74,2576
11013,75-84,1815
11013,85+,932
11016,0-17,3896
11016,18-34,3796
11016,35-44,2354
11016,45-54,2668
11016,55-64,2817
11016,65-74,2068
11016,75-84,1133
11016,85+,430
11018,0-17,2661
11018,18-34,2261
11018,35-44,1657
11018,45-54,1633
11018,55-64,1432
11018,65-74,1105
11018,75-84,604
11018,85+,281
11021,0-17,1615
11021,18-34,1446
11021,35-44,890
11021,45-54,1044
11021,55-64,1304
11021,65-74,1013
11021,75-84,619
11021,85+,346
11022,0-17,3670
11022,18-34,3590
11022,35-44,2212
11022,45-54,2521
11022,55-64,2657
11022,65-74,2209
11022,75-84,1378
11022,85+,635
11023,0-17,5005
11023,18-34,4741
11023,35-44,3134
11023,45-54,3704
11023,55-64,4055
11023,65-74,3097
11023,75-84,2242
11023,85+,1003
11024,0-17,4057
11024,18-34,4090
11024,35-44,2530
11024,45-54,2854
11024,55-64,3188
11024,65-74,2291
11024,75-84,1531
11024,85+,662
11025,0-17,1699
11025,18-34,1649
11025,35-44,1019
11025,45-54,1182
11025,55-64,1426
11025,65-74,923
11025,75-84,521
11025,85+,222
11029,0-17,5264
11029,18-34,5385
11029,35-44,3389
11029,45-54,3368
11029,55-64,3435
11029,65-74,2505
11029,75-84,1747
11029,85+,1064
11030,0-17,2449
11030,18-34,2223
11030,35-44,1455
11030,45-54,1421
11030,55-64,1281
11030,65-74,884
11030,75-84,552
11030,85+,281
11035,0-17,3471
11035,18-34,3563
11035,35-44,2280
11035,45-54,2610
11035,55-64,3063
11035,65-74,2320
11035,75-84,1364
11035,85+,516
11037,0-17,2964
11037,18-34,2784
11037,35-44,1907
11037,45-54,2070
11037,55-64,2148
11037,65-74,1617
11037,75-84,998
11037,85+,562
11038,0-17,1713
11038,18-34,1590
11038,35-44,1019
11038,45-54,1256
11038,55-64,1195
11038,65-74,944
11038,75-84,561
11038,85+,251
11039,0-17,3499
11039,18-34,3399
11039,35-44,2034
11039,45-54,2812
11039,55-64,3186
11039,65-74,2473
11039,75-84,1704
11039,85+,766
11040,0-17,6405
11040,18-34,6616
11040,35-44,3952
11040,45-54,4615
11040,55-64,5098
11040,65-74,3802
11040,75-84,2579
11040,85+,1249
11044,0-17,3593
11044,18-34,3605
11044,35-44,2454
11044,45-54,2731
11044,55-64,2649
11044,65-74,2293
11044,75-84,1055
11044,85+,409
11050,0-17,1831
11050,18-34,1820
11050,35-44,1212
11050,45-54,1329
11050,55-64,1548
11050,65-74,1071
11050,75-84,746
11050,85+,426
11052,0-17,2469
11052,18-34,2454
11052,35-44,1563
11052,45-54,1735
11052,55-64,1944
11052,65-74,1423
11052,75-84,895
11052,85+,460
11053,0-17,4090
11053,18-34,4399
11053,35-44,2614
11053,45-54,3052
11053,55-64,3224
11053,65-74,2171
11053,75-84,1185
11053,85+,478
11054,0-17,2296
11054,18-34,2402
11054,35-44,1478
11054,45-54,1732
11054,55-64,2164
11054,65-74,1696
11054,75-84,847
11054,85+,456
11055,0-17,3889
11055,18-34,3758
11055,35-44,2434
11055,45-54,3080
11055,55-64,3624
11055,65-74,2945
11055,75-84,1693
11055,85+,642
11056,0-17,3851
11056,18-34,3480
11056,35-44,2447
11056,45-54,2443
11056,55-64,2920
11056,65-74,2131
11056,75-84,1261
11056,85+,621
11057,0-17,2944
11057,18-34,3001
11057,35-44,1890
11057,45-54,2189
11057,55-64,2370
11057,65-74,1696
11057,75-84,1003
11057,85+,509
12002,0-17,2152
12002,18-34,2115
12002,35-44,1410
12002,45-54,1680
12002,55-64,1809
12002,65-74,1292
12002,75-84,802
12002,85+,396
12005,0-17,2774
12005,18-34,2588
12005,35-44,1621
12005,45-54,2148
12005,55-64,2355
12005,65-74,1654
12005,75-84,1267
12005,85+,671
12007,0-17,3689
12007,18-34,3925
12007,35-44,2519
12007,45-54,3204
12007,55-64,3250
12007,65-74,2542
12007,75-84,1548
12007,85+,676
12009,0-17,3341
12009,18-34,3455
12009,35-44,2255
12009,45-54,2454
12009,55-64,2469
12009,65-74,1910
12009,75-84,1205
12009,85+,575
12014,0-17,7575
12014,18-34,7955
12014,35-44,5292
12014,45-54,6244
12014,55-64,6572
12014,65-74,4923
12014,75-84,3080
12014,85+,1309
12021,0-17,6597
12021,18-34,7736
12021,35-44,4531
12021,45-54,4899
12021,55-64,5178
12021,65-74,3991
12021,75-84,2559
12021,85+,1155
12025,0-17,19069
12025,18-34,19993
12025,35-44,11677
12025,45-54,10738
12025,55-64,10429
12025,65-74,7598
12025,75-84,4928
12025,85+,2489
12026,0-17,4314
12026,18-34,4115
12026,35-44,2958
12026,45-54,3375
12026,55-64,3348
12026,65-74,2622
12026,75-84,1605
12026,85+,599
12029,0-17,3292
12029,18-34,3252
12029,35-44,2242
12029,45-54,2607
12029,55-64,2612
12029,65-74,2089
12029,75-84,1297
12029,85+,536
12035,0-17,4112
12035,18-34,3922
12035,35-44,2606
12035,45-54,2948
12035,55-64,2946
12035,65-74,2220
12035,75-84,1483
12035,85+,789
12040,0-17,6180
12040,18-34,5313
12040,35-44,3508
12040,45-54,3599
12040,55-64,3400
12040,65-74,2454
12040,75-84,1594
12040,85+,778
12041,0-17,5097
12041,18-34,4998
12041,35-44,3299
12041,45-54,3741
12041,55-64,3635
12041,65-74,2792
12041,75-84,1721
12041,85+,859
13001,0-17,2584
13001,18-34,2614
13001,35-44,1669
13001,45-54,1970
13001,55-64,1876
13001,65-74,1375
13001,75-84,887
13001,85+,315
13002,0-17,597
13002,18-34,559
13002,35-44,335
13002,45-54,382
13002,55-64,400
13002,65-74,303
13002,75-84,234
13002,85+,55
13003,0-17,4404
13003,18-34,4274
13003,35-44,3130
13003,45-54,3305
13003,55-64,3248
13003,65-74,2395
13003,75-84,1458
13003,85+,599
13004,0-17,3543
13004,18-34,3636
13004,35-44,2309
13004,45-54,2620
13004,55-64,2597
13004,65-74,1839
13004,75-84,1162
13004,85+,422
13006,0-17,1856
13006,18-34,1834
13006,35-44,1264
13006,45-54,1361
13006,55-64,1372
13006,65-74,993
13006,75-84,647
13006,85+,278
13008,0-17,7512
13008,18-34,7989
13008,35-44,5418
13008,45-54,5808
13008,55-64,5866
13008,65-74,4455
13008,75-84,2550
13008,85+,1111
13010,0-17,1796
13010,18-34,2086
13010,35-44,1300
13010,45-54,1741
13010,55-64,1822
13010,65-74,1385
13010,75-84,754
13010,85+,288
13011,0-17,4721
13011,18-34,5482
13011,35-44,3575
13011,45-54,3941
13011,55-64,4497
13011,65-74,3141
13011,75-84,1990
13011,85+,925
13012,0-17,1582
13012,18-34,1708
13012,35-44,1107
13012,45-54,1243
13012,55-64,1475
13012,65-74,1034
13012,75-84,673
13012,85+,287
13013,0-17,2512
13013,18-34,2464
13013,35-44,1845
13013,45-54,2064
13013,55-64,2356
13013,65-74,1670
13013,75-84,1106
13013,85+,504
13014,0-17,4153
13014,18-34,4421
13014,35-44,2603
13014,45-54,2981
13014,55-64,3075
13014,65-74,2318
13014,75-84,1422
13014,85+,451
13016,0-17,1856
13016,18-34,1975
13016,35-44,1371
13016,45-54,1596
13016,55-64,1619
13016,65-74,1091
13016,75-84,666
13016,85+,297
13017,0-17,3358
13017,18-34,3579
13017,35-44,2139
13017,45-54,2661
13017,55-64,3129
13017,65-74,2154
13017,75-84,1279
13017,85+,583
13019,0-17,3058
13019,18-34,3063
13019,35-44,2054
13019,45-54,2477
13019,55-64,2691
13019,65-74,1888
13019,75-84,928
13019,85+,405
13021,0-17,1907
13021,18-34,1876
13021,35-44,1366
13021,45-54,1469
13021,55-64,1556
13021,65-74,1175
13021,75-84,683
13021,85+,292
13023,0-17,1635
13023,18-34,1698
13023,35-44,1060
13023,45-54,1184
13023,55-64,1377
13023,65-74,999
13023,75-84,458
13023,85+,177
13025,0-17,6943
13025,18-34,7000
13025,35-44,4750
13025,45-54,5136
13025,55-64,5525
13025,65-74,4056
13025,75-84,2528
13025,85+,1084
13029,0-17,2405
13029,18-34,2349
13029,35-44,1688
13029,45-54,1794
13029,55-64,1920
13029,65-74,1327
13029,75-84,767
13029,85+,310
13031,0-17,2736
13031,18-34,2430
13031,35-44,1695
13031,45-54,1920
13031,55-64,2008
13031,65-74,1769
13031,75-84,1021
13031,85+,398
13035,0-17,2859
13035,18-34,2865
13035,35-44,1632
13035,45-54,2271
13035,55-64,2406
13035,65-74,1655
13035,75-84,976
13035,85+,359
13036,0-17,2219
13036,18-34,2208
13036,35-44,1397
13036,45-54,1625
13036,55-64,1760
13036,65-74,1256
13036,75-84,760
13036,85+,283
13037,0-17,2469
13037,18-34,2527
13037,35-44,1607
13037,45-54,1668
13037,55-64,1640
13037,65-74,1197
13037,75-84,775
13037,85+,295
13040,0-17,9067
13040,18-34,9670
13040,35-44,5659
13040,45-54,5897
13040,55-64,6103
13040,65-74,4548
13040,75-84,3043
13040,85+,1293
13044,0-17,1463
13044,18-34,1461
13044,35-44,1019
13044,45-54,1059
13044,55-64,1303
13044,65-74,902
13044,75-84,508
13044,85+,221
13046,0-17,2220
13046,18-34,2211
13046,35-44,1386
13046,45-54,1615
13046,55-64,1682
13046,65-74,1250
13046,75-84,728
13046,85+,251
13049,0-17,4618
13049,18-34,4425
13049,35-44,3326
13049,45-54,3616
13049,55-64,3621
13049,65-74,3162
13049,75-84,1658
13049,85+,693
13053,0-17,2915
13053,18-34,2990
13053,35-44,2136
13053,45-54,2320
13053,55-64,2422
13053,65-74,1923
13053,75-84,1040
13053,85+,440
21001,0-17,31421
21001,18-34,28683
21001,35-44,17662
21001,45-54,15698
21001,55-64,12055
21001,65-74,7654
21001,75-84,5072
21001,85+,2642
21002,0-17,7374
21002,18-34,7921
21002,35-44,5161
21002,45-54,4502
21002,55-64,3866
21002,65-74,2806
21002,75-84,1726
21002,85+,1048
21003,0-17,6423
21003,18-34,5482
21003,35-44,3511
21003,45-54,3376
21003,55-64,2827
21003,65-74,1995
21003,75-84,1274
21003,85+,614
21004,0-17,43042
21004,18-34,50316
21004,35-44,28950
21004,45-54,24338
21004,55-64,18038
21004,65-74,11093
21004,75-84,6267
21004,85+,3059
21005,0-17,8462
21005,18-34,15871
21005,35-44,8146
21005,45-54,6041
21005,55-64,4663
21005,65-74,2876
21005,75-84,1590
21005,85+,824
21006,0-17,10079
21006,18-34,9991
21006,35-44,6315
21006,45-54,5291
21006,55-64,4343
21006,65-74,3137
21006,75-84,2078
21006,85+,1422
21007,0-17,12800
21007,18-34,13657
21007,35-44,9468
21007,45-54,7690
21007,55-64,5463
21007,65-74,3955
21007,75-84,2374
21007,85+,1174
21008,0-17,6029
21008,18-34,5456
21008,35-44,3444
21008,45-54,3359
21008,55-64,2745
21008,65-74,2026
21008,75-84,1413
21008,85+,762
21009,0-17,13200
21009,18-34,31156
21009,35-44,14625
21009,45-54,10639
21009,55-64,8245
21009,65-74,5376
21009,75-84,2923
21009,85+,1468
21010,0-17,12805
21010,18-34,11858
21010,35-44,7790
21010,45-54,6886
21010,55-64,5600
21010,65-74,3852
21010,75-84,2500
21010,85+,1437
21011,0-17,5900
21011,18-34,5112
21011,35-44,3503
21011,45-54,2902
21011,55-64,2026
21011,65-74,1312
21011,75-84,817
21011,85+,387
21012,0-17,28293
21012,18-34,22994
21012,35-44,14084
21012,45-54,12205
21012,55-64,9042
21012,65-74,5888
21012,75-84,3755
21012,85+,1718
21013,0-17,9159
21013,18-34,15246
21013,35-44,8940
21013,45-54,6800
21013,55-64,4838
21013,65-74,2742
21013,75-84,1405
21013,85+,548
21014,0-17,6306
21014,18-34,8049
21014,35-44,4571
21014,45-54,3657
21014,55-64,2598
21014,65-74,1343
21014,75-84,747
21014,85+,226
21015,0-17,33355
21015,18-34,35560
21015,35-44,21562
21015,45-54,17053
21015,55-64,12113
21015,65-74,7275
21015,75-84,4139
21015,85+,1742
21016,0-17,16887
21016,18-34,18031
21016,35-44,11380
21016,45-54,11847
21016,55-64,9821
21016,65-74,7788
21016,75-84,5136
21016,85+,3090
21017,0-17,5182
21017,18-34,5111
21017,35-44,3073
21017,45-54,3532
21017,55-64,3243
21017,65-74,2615
21017,75-84,1666
21017,85+,910
21018,0-17,11385
21018,18-34,14119
21018,35-44,8546
21018,45-54,7485
21018,55-64,6373
21018,65-74,5043
21018,75-84,2979
21018,85+,1782
21019,0-17,8926
21019,18-34,8501
21019,35-44,5655
21019,45-54,5850
21019,55-64,5084
21019,65-74,3804
21019,75-84,2538
21019,85+,1761
23002,0-17,7493
23002,18-34,6666
23002,35-44,4296
23002,45-54,4678
23002,55-64,4197
23002,65-74,3102
23002,75-84,2079
23002,85+,994
23003,0-17,5696
23003,18-34,4616
23003,35-44,3295
23003,45-54,3614
23003,55-64,3441
23003,65-74,2392
23003,75-84,1524
23003,85+,765
23009,0-17,490
23009,18-34,349
23009,35-44,306
23009,45-54,322
23009,55-64,339
23009,65-74,216
23009,75-84,113
23009,85+,43
23016,0-17,9158
23016,18-34,8279
23016,35-44,5358
23016,45-54,5837
23016,55-64,5901
23016,65-74,4202
23016,75-84,3099
23016,85+,1589
23023,0-17,1813
23023,18-34,1505
23023,35-44,1249
23023,45-54,1251
23023,55-64,1340
23023,65-74,935
23023,75-84,504
23023,85+,239
23024,0-17,1703
23024,18-34,1675
23024,35-44,1097
23024,45-54,1320
23024,55-64,1391
23024,65-74,1035
23024,75-84,628
23024,85+,340
23025,0-17,8141
23025,18-34,7462
23025,35-44,4841
23025,45-54,5278
23025,55-64,4856
23025,65-74,3690
23025,75-84,2423
23025,85+,1281
23027,0-17,8498
23027,18-34,8435
23027,35-44,5433
23027,45-54,5239
23027,55-64,4911
23027,65-74,3843
23027,75-84,2585
23027,85+,1238
23032,0-17,1288
23032,18-34,1208
23032,35-44,807
23032,45-54,988
23032,55-64,991
23032,65-74,763
23032,75-84,439
23032,85+,215
23033,0-17,2596
23033,18-34,2112
23033,35-44,1552
23033,45-54,1603
23033,55-64,1423
23033,65-74,1147
23033,75-84,659
23033,85+,316
23038,0-17,2470
23038,18-34,2323
23038,35-44,1530
23038,45-54,1772
23038,55-64,1750
23038,65-74,1207
23038,75-84,719
23038,85+,358
23039,0-17,1795
23039,18-34,1786
23039,35-44,1197
23039,45-54,1371
23039,55-64,1369
23039,65-74,1016
23039,75-84,644
23039,85+,323
23044,0-17,2782
23044,18-34,2421
23044,35-44,1691
23044,45-54,1909
23044,55-64,1775
23044,65-74,1497
23044,75-84,918
23044,85+,404
23045,0-17,3702
23045,18-34,3637
23045,35-44,2362
23045,45-54,2687
23045,55-64,2633
23045,65-74,1972
23045,75-84,1317
23045,85+,551
23047,0-17,3993
23047,18-34,3345
23047,35-44,2190
23047,45-54,2052
23047,55-64,1793
23047,65-74,1126
23047,75-84,707
23047,85+,399
23050,0-17,3895
23050,18-34,3742
23050,35-44,2313
23050,45-54,2620
23050,55-64,3049
23050,65-74,2153
23050,75-84,1219
23050,85+,636
23052,0-17,3252
23052,18-34,3449
23052,35-44,2081
23052,45-54,2295
23052,55-64,2348
23052,65-74,1695
23052,75-84,1134
23052,85+,512
23060,0-17,3183
23060,18-34,2764
23060,35-44,1970
23060,45-54,2085
23060,55-64,1938
23060,65-74,1478
23060,75-84,905
23060,85+,423
23062,0-17,5493
23062,18-34,4552
23062,35-44,3192
23062,45-54,3793
23062,55-64,3349
23062,65-74,2537
23062,75-84,1760
23062,85+,821
23064,0-17,904
23064,18-34,844
23064,35-44,541
23064,45-54,654
23064,55-64,689
23064,65-74,449
23064,75-84,274
23064,85+,182
23077,0-17,7704
23077,18-34,6918
23077,35-44,4493
23077,45-54,4617
23077,55-64,4545
23077,65-74,3290
23077,75-84,2091
23077,85+,963
23081,0-17,2632
23081,18-34,2236
23081,35-44,1593
23081,45-54,1747
23081,55-64,1672
23081,65-74,1256
23081,75-84,773
23081,85+,370
23086,0-17,3283
23086,18-34,2994
23086,35-44,1986
23086,45-54,2233
23086,55-64,2329
23086,65-74,1634
23086,75-84,1048
23086,85+,505
23088,0-17,11640
23088,18-34,9814
23088,35-44,6340
23088,45-54,6151
23088,55-64,5120
23088,65-74,3259
23088,75-84,2090
23088,85+,1081
23094,0-17,8022
23094,18-34,7184
23094,35-44,4938
23094,45-54,4770
23094,55-64,4297
23094,65-74,2754
23094,75-84,1837
23094,85+,980
23096,0-17,4737
23096,18-34,4132
23096,35-44,2971
23096,45-54,3313
23096,55-64,3609
23096,65-74,2440
23096,75-84,1343
23096,85+,715
23097,0-17,2287
23097,18-34,2152
23097,35-44,1482
23097,45-54,1734
23097,55-64,1736
23097,65-74,1184
23097,75-84,758
23097,85+,332
23098,0-17,1337
23098,18-34,1182
23098,35-44,779
23098,45-54,763
23098,55-64,674
23098,65-74,449
23098,75-84,272
23098,85+,197
23099,0-17,3184
23099,18-34,2590
23099,35-44,1837
23099,45-54,1945
23099,55-64,1815
23099,65-74,1356
23099,75-84,729
23099,85+,397
23100,0-17,958
23100,18-34,891
23100,35-44,517
23100,45-54,681
23100,55-64,747
23100,65-74,463
23100,75-84,298
23100,85+,141
23101,0-17,4138
23101,18-34,3252
23101,35-44,2300
23101,45-54,2695
23101,55-64,2543
23101,65-74,1975
23101,75-84,1109
23101,85+,507
23102,0-17,3727
23102,18-34,3409
23102,35-44,2134
23102,45-54,2312
23102,55-64,1989
23102,65-74,1551
23102,75-84,1057
23102,85+,635
23103,0-17,3230
23103,18-34,2630
23103,35-44,1794
23103,45-54,1914
23103,55-64,1937
23103,65-74,1449
23103,75-84,838
23103,85+,477
23104,0-17,1642
23104,18-34,1667
23104,35-44,999
23104,45-54,1331
23104,55-64,1429
23104,65-74,1024
23104,75-84,688
23104,85+,316
23105,0-17,2894
23105,18-34,2296
23105,35-44,1906
23105,45-54,1888
23105,55-64,1765
23105,65-74,1470
23105,75-84,820
23105,85+,312
24001,0-17,4986
24001,18-34,5792
24001,35-44,3843
24001,45-54,4235
24001,55-64,4510
24001,65-74,3357
24001,75-84,2366
24001,85+,1094
24007,0-17,1824
24007,18-34,1794
24007,35-44,1261
24007,45-54,1512
24007,55-64,1647
24007,65-74,1197
24007,75-84,700
24007,85+,321
24008,0-17,1163
24008,18-34,1190
24008,35-44,826
24008,45-54,919
24008,55-64,929
24008,65-74,657
24008,75-84,439
24008,85+,209
24009,0-17,2162
24009,18-34,1923
24009,35-44,1319
24009,45-54,1434
24009,55-64,1339
24009,65-74,1010
24009,75-84,616
24009,85+,338
24011,0-17,2041
24011,18-34,1762
24011,35-44,1314
24011,45-54,1413
24011,55-64,1393
24011,65-74,1217
24011,75-84,679
24011,85+,343
24014,0-17,2572
24014,18-34,2334
24014,35-44,1576
24014,45-54,1747
24014,55-64,1855
24014,65-74,1341
24014,75-84,837
24014,85+,367
24016,0-17,1734
24016,18-34,1511
24016,35-44,1083
24016,45-54,1249
24016,55-64,1109
24016,65-74,821
24016,75-84,497
24016,85+,238
24020,0-17,4319
24020,18-34,4437
24020,35-44,3121
24020,45-54,3314
24020,55-64,3643
24020,65-74,2856
24020,75-84,1801
24020,85+,743
24028,0-17,1138
24028,18-34,1120
24028,35-44,799
24028,45-54,882
24028,55-64,926
24028,65-74,656
24028,75-84,420
24028,85+,195
24033,0-17,2873
24033,18-34,2756
24033,35-44,1853
24033,45-54,2099
24033,55-64,2163
24033,65-74,1667
24033,75-84,1006
24033,85+,437
24038,0-17,4426
24038,18-34,4580
24038,35-44,2798
24038,45-54,2823
24038,55-64,2969
24038,65-74,2177
24038,75-84,1433
24038,85+,714
24041,0-17,1424
24041,18-34,1301
24041,35-44,863
24041,45-54,1080
24041,55-64,990
24041,65-74,619
24041,75-84,366
24041,85+,220
24043,0-17,2040
24043,18-34,1786
24043,35-44,1284
24043,45-54,1444
24043,55-64,1484
24043,65-74,1073
24043,75-84,632
24043,85+,319
24045,0-17,2115
24045,18-34,1745
24045,35-44,1271
24045,45-54,1442
24045,55-64,1426
24045,65-74,1031
24045,75-84,582
24045,85+,331
24048,0-17,2282
24048,18-34,2168
24048,35-44,1339
24048,45-54,1946
24048,55-64,2088
24048,65-74,1738
24048,75-84,986
24048,85+,407
24054,0-17,1418
24054,18-34,1394
24054,35-44,961
24054,45-54,1164
24054,55-64,1180
24054,65-74,886
24054,75-84,622
24054,85+,267
24055,0-17,4319
24055,18-34,3700
24055,35-44,2670
24055,45-54,2979
24055,55-64,2724
24055,65-74,1972
24055,75-84,1256
24055,85+,669
24059,0-17,3213
24059,18-34,2748
24059,35-44,2142
24059,45-54,2276
24059,55-64,2341
24059,65-74,1821
24059,75-84,1049
24059,85+,506
24062,0-17,17626
24062,18-34,31999
24062,35-44,13637
24062,45-54,11369
24062,55-64,10923
24062,65-74,8304
24062,75-84,5263
24062,85+,3154
24066,0-17,2779
24066,18-34,2588
24066,35-44,1737
24066,45-54,1974
24066,55-64,2183
24066,65-74,1762
24066,75-84,1091
24066,85+,442
24086,0-17,2266
24086,18-34,1973
24086,35-44,1362
